PO Number,PO Line,Cont Ind,Contract,Cont Type,Invoice Date,Invoice No,Vendor Reference,Date PO Created,Total Cost per Line,Freight Amt,Unit Price,Unit Price less Dist Fee,Dist Fee %,Dist Fee Amt,Qty Paid,MatGrp,U O M,Material Group Desc,Item No,Stock,Description,GL Acct,GL Acct Desc,Fund,Fund Ctr,Fund Ctr Desc,Div Node,Division Desc,Dept Node,Department Desc,Sub-Dept,Sub-Dept Desc,Cost Ctr,Recipient,Unloading Pt,WBS Element,Vendor No,Vendor Name,Vendor Mat Number,Manufacturer Part No,Manufacturer,Manufacturer Name,UNSPSC code,UNSPSC Desc,Purch Gp,Buyer Name,Case No,SQ Cart No,Req No,Req Line,PO Unit Price
4500133453,54,X,MS25276,AROK,1/14/2016,5109311113,1093188667,1/11/2016,687.93,0.00,9.97,9.80,0.0175,0.17,69.000,H17,BAG,Monitoring Supplies,11051,X,CUFF BLOOD PRESSURE SOFT ADULT 5/BG,0000532200,MEDICAL SUPPLIES,111,3000197,UNB SS SAP Warehouse,UNB0001F,UNBUDGETED,UNB0002F,UNBUDGETED CTR,3000197,UNB SS SAP Warehouse,,,,,0000019665,MEDLINE INDUSTRIES INC,MDS9913HP,MDS9913HP,0000037574,MEDLINE INDUSTRIES INC,42181605,BLOOD PRESSURE CUFF OR BLADDER,WB,Janice Carter,,,0012097379,10,9.97
4500133453,55,X,MS25276,AROK,1/14/2016,5109311113,1093188667,1/11/2016,97.68,0.00,12.21,12.00,0.0175,0.21,8.000,H17,BAG,Monitoring Supplies,11052,X,CUFF BLOOD PRESSURE SOFT ADULT LARG 5/BG,0000532200,MEDICAL SUPPLIES,111,3000197,UNB SS SAP Warehouse,UNB0001F,UNBUDGETED,UNB0002F,UNBUDGETED CTR,3000197,UNB SS SAP Warehouse,,,,,0000019665,MEDLINE INDUSTRIES INC,MDS9914HP,MDS9914HP,0000037574,MEDLINE INDUSTRIES INC,42181605,BLOOD PRESSURE CUFF OR BLADDER,WB,Janice Carter,,,0012097380,10,12.21
4500133453,56,,NONC1500-M,,1/14/2016,5109311113,1093188667,1/11/2016,131.05,0.00,26.21,25.76,0.0175,0.45,5.000,H17,BAG,Monitoring Supplies,11053,X,CUFF BLOOD PRESSURE SFT ADLT LNG LRG5/BG,0000532200,MEDICAL SUPPLIES,111,3000197,UNB SS SAP Warehouse,UNB0001F,UNBUDGETED,UNB0002F,UNBUDGETED CTR,3000197,UNB SS SAP Warehouse,,,,,0000019665,MEDLINE INDUSTRIES INC,MDS9915HP,MDS9915HP,0000037574,MEDLINE INDUSTRIES INC,42181605,BLOOD PRESSURE CUFF OR BLADDER,WB,Janice Carter,,,0012097381,10,26.21
4500133453,57,X,MS25276,AROK,1/14/2016,5109311113,1093188667,1/11/2016,128.31,0.00,9.87,9.70,0.0175,0.17,13.000,H17,BAG,Monitoring Supplies,11054,X,CUFF BLOOD PRESSURE SOFT ADULT SMALL5/BG,0000532200,MEDICAL SUPPLIES,111,3000197,UNB SS SAP Warehouse,UNB0001F,UNBUDGETED,UNB0002F,UNBUDGETED CTR,3000197,UNB SS SAP Warehouse,,,,,0000019665,MEDLINE INDUSTRIES INC,MDS9912HP,MDS9912HP,0000037574,MEDLINE INDUSTRIES INC,42181605,BLOOD PRESSURE CUFF OR BLADDER,WB,Janice Carter,,,0012097382,10,9.87
4500133521,40,X,MS25276,AROK,1/14/2016,5109311105,1093188709,1/12/2016,"1,006.97",0.00,9.97,9.80,0.0175,0.17,101.000,H17,BAG,Monitoring Supplies,11051,X,CUFF BLOOD PRESSURE SOFT ADULT 5/BG,0000532200,MEDICAL SUPPLIES,111,3000197,UNB SS SAP Warehouse,UNB0001F,UNBUDGETED,UNB0002F,UNBUDGETED CTR,3000197,UNB SS SAP Warehouse,,,,,0000019665,MEDLINE INDUSTRIES INC,MDS9913HP,MDS9913HP,0000037574,MEDLINE INDUSTRIES INC,42181605,BLOOD PRESSURE CUFF OR BLADDER,WB,Janice Carter,,,0012098178,10,9.97
4500133521,41,X,MS25276,AROK,1/14/2016,5109311105,1093188709,1/12/2016,231.99,0.00,12.21,12.00,0.0175,0.21,19.000,H17,BAG,Monitoring Supplies,11052,X,CUFF BLOOD PRESSURE SOFT ADULT LARG 5/BG,0000532200,MEDICAL SUPPLIES,111,3000197,UNB SS SAP Warehouse,UNB0001F,UNBUDGETED,UNB0002F,UNBUDGETED CTR,3000197,UNB SS SAP Warehouse,,,,,0000019665,MEDLINE INDUSTRIES INC,MDS9914HP,MDS9914HP,0000037574,MEDLINE INDUSTRIES INC,42181605,BLOOD PRESSURE CUFF OR BLADDER,WB,Janice Carter,,,0012098179,10,12.21
4500133566,37,X,MS25276,AROK,1/14/2016,5109311079,1093188747,1/13/2016,528.41,0.00,9.97,9.80,0.0175,0.17,53.000,H17,BAG,Monitoring Supplies,11051,X,CUFF BLOOD PRESSURE SOFT ADULT 5/BG,0000532200,MEDICAL SUPPLIES,111,3000197,UNB SS SAP Warehouse,UNB0001F,UNBUDGETED,UNB0002F,UNBUDGETED CTR,3000197,UNB SS SAP Warehouse,,,,,0000019665,MEDLINE INDUSTRIES INC,MDS9913HP,MDS9913HP,0000037574,MEDLINE INDUSTRIES INC,42181605,BLOOD PRESSURE CUFF OR BLADDER,WB,Janice Carter,,,0012098813,10,9.97
4500133566,38,X,MS25276,AROK,1/14/2016,5109311079,1093188747,1/13/2016,197.40,0.00,9.87,9.70,0.0175,0.17,20.000,H17,BAG,Monitoring Supplies,11054,X,CUFF BLOOD PRESSURE SOFT ADULT SMALL5/BG,0000532200,MEDICAL SUPPLIES,111,3000197,UNB SS SAP Warehouse,UNB0001F,UNBUDGETED,UNB0002F,UNBUDGETED CTR,3000197,UNB SS SAP Warehouse,,,,,0000019665,MEDLINE INDUSTRIES INC,MDS9912HP,MDS9912HP,0000037574,MEDLINE INDUSTRIES INC,42181605,BLOOD PRESSURE CUFF OR BLADDER,WB,Janice Carter,,,0012098814,10,9.87
4500133615,37,X,MS25276,AROK,1/15/2016,5109312211,1093241230,1/14/2016,787.63,0.00,9.97,9.80,0.0175,0.17,79.000,H17,BAG,Monitoring Supplies,11051,X,CUFF BLOOD PRESSURE SOFT ADULT 5/BG,0000532200,MEDICAL SUPPLIES,111,3000197,UNB SS SAP Warehouse,UNB0001F,UNBUDGETED,UNB0002F,UNBUDGETED CTR,3000197,UNB SS SAP Warehouse,,,,,0000019665,MEDLINE INDUSTRIES INC,MDS9913HP,MDS9913HP,0000037574,MEDLINE INDUSTRIES INC,42181605,BLOOD PRESSURE CUFF OR BLADDER,WB,Janice Carter,,,0012099424,10,9.97
4500133615,38,X,MS25276,AROK,1/15/2016,5109312211,1093241230,1/14/2016,329.67,0.00,12.21,12.00,0.0175,0.21,27.000,H17,BAG,Monitoring Supplies,11052,X,CUFF BLOOD PRESSURE SOFT ADULT LARG 5/BG,0000532200,MEDICAL SUPPLIES,111,3000197,UNB SS SAP Warehouse,UNB0001F,UNBUDGETED,UNB0002F,UNBUDGETED CTR,3000197,UNB SS SAP Warehouse,,,,,0000019665,MEDLINE INDUSTRIES INC,MDS9914HP,MDS9914HP,0000037574,MEDLINE INDUSTRIES INC,42181605,BLOOD PRESSURE CUFF OR BLADDER,WB,Janice Carter,,,0012099425,10,12.21
4500133619,1,X,MS3062,UMCSC,2/1/2016,5109322797,1093836124,1/14/2016,92.18,0.00,92.18,90.59,0.0175,1.59,1.000,H17,CS,Monitoring Supplies,N019619,X,CUFF B/P 1PC SFT INFLAT SYS ADLT LG20/CS,0000532200,MEDICAL SUPPLIES,111,3000197,UNB SS SAP Warehouse,UNB0001F,UNBUDGETED,UNB0002F,UNBUDGETED CTR,3000197,UNB SS SAP Warehouse,,,,,0000019665,MEDLINE INDUSTRIES INC,W-ASOFT122BV,SOFT-12-2BV,0000037933,WELCH ALLYN INC,42181605,BLOOD PRESSURE CUFF OR BLADDER,HB,Hospital Buyer,,,0012099637,10,92.18
4500133667,31,X,MS25276,AROK,1/19/2016,5109313307,1093348730,1/15/2016,408.77,0.00,9.97,9.80,0.0175,0.17,41.000,H17,BAG,Monitoring Supplies,11051,X,CUFF BLOOD PRESSURE SOFT ADULT 5/BG,0000532200,MEDICAL SUPPLIES,111,3000197,UNB SS SAP Warehouse,UNB0001F,UNBUDGETED,UNB0002F,UNBUDGETED CTR,3000197,UNB SS SAP Warehouse,,,,,0000019665,MEDLINE INDUSTRIES INC,MDS9913HP,MDS9913HP,0000037574,MEDLINE INDUSTRIES INC,42181605,BLOOD PRESSURE CUFF OR BLADDER,WB,Janice Carter,,,0012100133,10,9.97
4500133667,32,X,MS25276,AROK,1/19/2016,5109313307,1093348730,1/15/2016,97.68,0.00,12.21,12.00,0.0175,0.21,8.000,H17,BAG,Monitoring Supplies,11052,X,CUFF BLOOD PRESSURE SOFT ADULT LARG 5/BG,0000532200,MEDICAL SUPPLIES,111,3000197,UNB SS SAP Warehouse,UNB0001F,UNBUDGETED,UNB0002F,UNBUDGETED CTR,3000197,UNB SS SAP Warehouse,,,,,0000019665,MEDLINE INDUSTRIES INC,MDS9914HP,MDS9914HP,0000037574,MEDLINE INDUSTRIES INC,42181605,BLOOD PRESSURE CUFF OR BLADDER,WB,Janice Carter,,,0012100134,10,12.21
4500133733,147,X,MS25276,AROK,1/22/2016,5109316314,1093507651,1/19/2016,"1,256.22",0.00,9.97,9.80,0.0175,0.17,126.000,H17,BAG,Monitoring Supplies,11051,X,CUFF BLOOD PRESSURE SOFT ADULT 5/BG,0000532200,MEDICAL SUPPLIES,111,3000197,UNB SS SAP Warehouse,UNB0001F,UNBUDGETED,UNB0002F,UNBUDGETED CTR,3000197,UNB SS SAP Warehouse,,,,,0000019665,MEDLINE INDUSTRIES INC,MDS9913HP,MDS9913HP,0000037574,MEDLINE INDUSTRIES INC,42181605,BLOOD PRESSURE CUFF OR BLADDER,WB,Janice Carter,,,0012101133,10,9.97
4500133733,148,X,MS25276,AROK,1/22/2016,5109316314,1093507651,1/19/2016,659.34,0.00,12.21,12.00,0.0175,0.21,54.000,H17,BAG,Monitoring Supplies,11052,X,CUFF BLOOD PRESSURE SOFT ADULT LARG 5/BG,0000532200,MEDICAL SUPPLIES,111,3000197,UNB SS SAP Warehouse,UNB0001F,UNBUDGETED,UNB0002F,UNBUDGETED CTR,3000197,UNB SS SAP Warehouse,,,,,0000019665,MEDLINE INDUSTRIES INC,MDS9914HP,MDS9914HP,0000037574,MEDLINE INDUSTRIES INC,42181605,BLOOD PRESSURE CUFF OR BLADDER,WB,Janice Carter,,,0012101134,10,12.21
4500133733,149,X,MS25276,AROK,1/22/2016,5109316314,1093507651,1/19/2016,227.01,0.00,9.87,9.70,0.0175,0.17,23.000,H17,BAG,Monitoring Supplies,11054,X,CUFF BLOOD PRESSURE SOFT ADULT SMALL5/BG,0000532200,MEDICAL SUPPLIES,111,3000197,UNB SS SAP Warehouse,UNB0001F,UNBUDGETED,UNB0002F,UNBUDGETED CTR,3000197,UNB SS SAP Warehouse,,,,,0000019665,MEDLINE INDUSTRIES INC,MDS9912HP,MDS9912HP,0000037574,MEDLINE INDUSTRIES INC,42181605,BLOOD PRESSURE CUFF OR BLADDER,WB,Janice Carter,,,0012101135,10,9.87
4500133779,37,X,MS25276,AROK,3/8/2016,5109351710,1093508896,1/20/2016,"1,395.80",0.00,9.97,9.80,0.0175,0.17,140.000,H17,BAG,Monitoring Supplies,11051,X,CUFF BLOOD PRESSURE SOFT ADULT 5/BG,0000532200,MEDICAL SUPPLIES,111,3000197,UNB SS SAP Warehouse,UNB0001F,UNBUDGETED,UNB0002F,UNBUDGETED CTR,3000197,UNB SS SAP Warehouse,,,,,0000019665,MEDLINE INDUSTRIES INC,MDS9913HP,MDS9913HP,0000037574,MEDLINE INDUSTRIES INC,42181605,BLOOD PRESSURE CUFF OR BLADDER,WB,Janice Carter,,,0012101805,10,9.97
4500133779,37,X,MS25276,AROK,1/22/2016,5109316313,1093508889,1/20/2016,528.41,0.00,9.97,9.80,0.0175,0.17,53.000,H17,BAG,Monitoring Supplies,11051,X,CUFF BLOOD PRESSURE SOFT ADULT 5/BG,0000532200,MEDICAL SUPPLIES,111,3000197,UNB SS SAP Warehouse,UNB0001F,UNBUDGETED,UNB0002F,UNBUDGETED CTR,3000197,UNB SS SAP Warehouse,,,,,0000019665,MEDLINE INDUSTRIES INC,MDS9913HP,MDS9913HP,0000037574,MEDLINE INDUSTRIES INC,42181605,BLOOD PRESSURE CUFF OR BLADDER,WB,Janice Carter,,,0012101805,10,9.97
4500133779,38,X,MS25276,AROK,1/22/2016,5109316313,1093508889,1/20/2016,236.88,0.00,9.87,9.70,0.0175,0.17,24.000,H17,BAG,Monitoring Supplies,11054,X,CUFF BLOOD PRESSURE SOFT ADULT SMALL5/BG,0000532200,MEDICAL SUPPLIES,111,3000197,UNB SS SAP Warehouse,UNB0001F,UNBUDGETED,UNB0002F,UNBUDGETED CTR,3000197,UNB SS SAP Warehouse,,,,,0000019665,MEDLINE INDUSTRIES INC,MDS9912HP,MDS9912HP,0000037574,MEDLINE INDUSTRIES INC,42181605,BLOOD PRESSURE CUFF OR BLADDER,WB,Janice Carter,,,0012101806,10,9.87
4500133837,31,X,MS25276,AROK,1/22/2016,5109316300,1093508932,1/21/2016,"2,083.73",0.00,9.97,9.80,0.0175,0.17,209.000,H17,BAG,Monitoring Supplies,11051,X,CUFF BLOOD PRESSURE SOFT ADULT 5/BG,0000532200,MEDICAL SUPPLIES,111,3000197,UNB SS SAP Warehouse,UNB0001F,UNBUDGETED,UNB0002F,UNBUDGETED CTR,3000197,UNB SS SAP Warehouse,,,,,0000019665,MEDLINE INDUSTRIES INC,MDS9913HP,MDS9913HP,0000037574,MEDLINE INDUSTRIES INC,42181605,BLOOD PRESSURE CUFF OR BLADDER,WB,Janice Carter,,,0012102492,10,9.97
4500133837,32,X,MS25276,AROK,1/22/2016,5109316300,1093508932,1/21/2016,256.41,0.00,12.21,12.00,0.0175,0.21,21.000,H17,BAG,Monitoring Supplies,11052,X,CUFF BLOOD PRESSURE SOFT ADULT LARG 5/BG,0000532200,MEDICAL SUPPLIES,111,3000197,UNB SS SAP Warehouse,UNB0001F,UNBUDGETED,UNB0002F,UNBUDGETED CTR,3000197,UNB SS SAP Warehouse,,,,,0000019665,MEDLINE INDUSTRIES INC,MDS9914HP,MDS9914HP,0000037574,MEDLINE INDUSTRIES INC,42181605,BLOOD PRESSURE CUFF OR BLADDER,WB,Janice Carter,,,0012102493,10,12.21
4500133885,41,X,MS25276,AROK,1/26/2016,5109317567,1093622000,1/22/2016,73.26,0.00,12.21,12.00,0.0175,0.21,6.000,H17,BAG,Monitoring Supplies,11052,X,CUFF BLOOD PRESSURE SOFT ADULT LARG 5/BG,0000532200,MEDICAL SUPPLIES,111,3000197,UNB SS SAP Warehouse,UNB0001F,UNBUDGETED,UNB0002F,UNBUDGETED CTR,3000197,UNB SS SAP Warehouse,,,,,0000019665,MEDLINE INDUSTRIES INC,MDS9914HP,MDS9914HP,0000037574,MEDLINE INDUSTRIES INC,42181605,BLOOD PRESSURE CUFF OR BLADDER,WB,Janice Carter,,,0012103141,10,12.21
4500133939,42,X,MS25276,AROK,1/26/2016,5109317560,1093622024,1/25/2016,122.10,0.00,12.21,12.00,0.0175,0.21,10.000,H17,BAG,Monitoring Supplies,11052,X,CUFF BLOOD PRESSURE SOFT ADULT LARG 5/BG,0000532200,MEDICAL SUPPLIES,111,3000197,UNB SS SAP Warehouse,UNB0001F,UNBUDGETED,UNB0002F,UNBUDGETED CTR,3000197,UNB SS SAP Warehouse,,,,,0000019665,MEDLINE INDUSTRIES INC,MDS9914HP,MDS9914HP,0000037574,MEDLINE INDUSTRIES INC,42181605,BLOOD PRESSURE CUFF OR BLADDER,WB,Janice Carter,,,0012103653,10,12.21
4500133939,43,,NONC1500-M,,1/26/2016,5109317560,1093622024,1/25/2016,78.63,0.00,26.21,25.76,0.0175,0.45,3.000,H17,BAG,Monitoring Supplies,11053,X,CUFF BLOOD PRESSURE SFT ADLT LNG LRG5/BG,0000532200,MEDICAL SUPPLIES,111,3000197,UNB SS SAP Warehouse,UNB0001F,UNBUDGETED,UNB0002F,UNBUDGETED CTR,3000197,UNB SS SAP Warehouse,,,,,0000019665,MEDLINE INDUSTRIES INC,MDS9915HP,MDS9915HP,0000037574,MEDLINE INDUSTRIES INC,42181605,BLOOD PRESSURE CUFF OR BLADDER,WB,Janice Carter,,,0012103654,10,26.21
4500133939,44,X,MS25276,AROK,1/26/2016,5109317560,1093622024,1/25/2016,157.92,0.00,9.87,9.70,0.0175,0.17,16.000,H17,BAG,Monitoring Supplies,11054,X,CUFF BLOOD PRESSURE SOFT ADULT SMALL5/BG,0000532200,MEDICAL SUPPLIES,111,3000197,UNB SS SAP Warehouse,UNB0001F,UNBUDGETED,UNB0002F,UNBUDGETED CTR,3000197,UNB SS SAP Warehouse,,,,,0000019665,MEDLINE INDUSTRIES INC,MDS9912HP,MDS9912HP,0000037574,MEDLINE INDUSTRIES INC,42181605,BLOOD PRESSURE CUFF OR BLADDER,WB,Janice Carter,,,0012103655,10,9.87
4500133982,32,X,MS25276,AROK,1/28/2016,5109320303,1093728410,1/26/2016,588.23,0.00,9.97,9.80,0.0175,0.17,59.000,H17,BAG,Monitoring Supplies,11051,X,CUFF BLOOD PRESSURE SOFT ADULT 5/BG,0000532200,MEDICAL SUPPLIES,111,3000197,UNB SS SAP Warehouse,UNB0001F,UNBUDGETED,UNB0002F,UNBUDGETED CTR,3000197,UNB SS SAP Warehouse,,,,,0000019665,MEDLINE INDUSTRIES INC,MDS9913HP,MDS9913HP,0000037574,MEDLINE INDUSTRIES INC,42181605,BLOOD PRESSURE CUFF OR BLADDER,WB,Janice Carter,,,0012104353,10,9.97
4500134015,29,X,MS25276,AROK,1/28/2016,5109320280,1093728434,1/27/2016,109.89,0.00,12.21,12.00,0.0175,0.21,9.000,H17,BAG,Monitoring Supplies,11052,X,CUFF BLOOD PRESSURE SOFT ADULT LARG 5/BG,0000532200,MEDICAL SUPPLIES,111,3000197,UNB SS SAP Warehouse,UNB0001F,UNBUDGETED,UNB0002F,UNBUDGETED CTR,3000197,UNB SS SAP Warehouse,,,,,0000019665,MEDLINE INDUSTRIES INC,MDS9914HP,MDS9914HP,0000037574,MEDLINE INDUSTRIES INC,42181605,BLOOD PRESSURE CUFF OR BLADDER,WB,Janice Carter,,,0012105049,10,12.21
4500134066,32,X,MS25276,AROK,2/1/2016,5109322785,1093877809,1/28/2016,"1,096.70",0.00,9.97,9.80,0.0175,0.17,110.000,H17,BAG,Monitoring Supplies,11051,X,CUFF BLOOD PRESSURE SOFT ADULT 5/BG,0000532200,MEDICAL SUPPLIES,111,3000197,UNB SS SAP Warehouse,UNB0001F,UNBUDGETED,UNB0002F,UNBUDGETED CTR,3000197,UNB SS SAP Warehouse,,,,,0000019665,MEDLINE INDUSTRIES INC,MDS9913HP,MDS9913HP,0000037574,MEDLINE INDUSTRIES INC,42181605,BLOOD PRESSURE CUFF OR BLADDER,WB,Janice Carter,,,0012105648,10,9.97
4500134125,23,X,MS25276,AROK,2/1/2016,5109322807,1093836156,1/29/2016,448.65,0.00,9.97,9.80,0.0175,0.17,45.000,H17,BAG,Monitoring Supplies,11051,X,CUFF BLOOD PRESSURE SOFT ADULT 5/BG,0000532200,MEDICAL SUPPLIES,111,3000197,UNB SS SAP Warehouse,UNB0001F,UNBUDGETED,UNB0002F,UNBUDGETED CTR,3000197,UNB SS SAP Warehouse,,,,,0000019665,MEDLINE INDUSTRIES INC,MDS9913HP,MDS9913HP,0000037574,MEDLINE INDUSTRIES INC,42181605,BLOOD PRESSURE CUFF OR BLADDER,WB,Janice Carter,,,0012106372,10,9.97
4500134125,24,X,MS25276,AROK,2/1/2016,5109322807,1093836156,1/29/2016,97.68,0.00,12.21,12.00,0.0175,0.21,8.000,H17,BAG,Monitoring Supplies,11052,X,CUFF BLOOD PRESSURE SOFT ADULT LARG 5/BG,0000532200,MEDICAL SUPPLIES,111,3000197,UNB SS SAP Warehouse,UNB0001F,UNBUDGETED,UNB0002F,UNBUDGETED CTR,3000197,UNB SS SAP Warehouse,,,,,0000019665,MEDLINE INDUSTRIES INC,MDS9914HP,MDS9914HP,0000037574,MEDLINE INDUSTRIES INC,42181605,BLOOD PRESSURE CUFF OR BLADDER,WB,Janice Carter,,,0012106373,10,12.21
